,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
384,Dioni,38.023,23.933,2019-06-18,0,25,7,315,49,10
385,Dioni,38.023,23.933,2019-06-18,300,23,9,335,58,10
386,Dioni,38.023,23.933,2019-06-18,600,25,12,335,51,10
387,Dioni,38.023,23.933,2019-06-18,900,29,15,225,45,10
388,Dioni,38.023,23.933,2019-06-18,1200,30,9,180,48,10
389,Dioni,38.023,23.933,2019-06-18,1500,28,10,135,51,10
390,Dioni,38.023,23.933,2019-06-18,1800,26,8,335,70,7
391,Dioni,38.023,23.933,2019-06-18,2100,25,7,315,62,10
392,Dioni,38.023,23.933,2019-06-19,0,24,6,335,61,10
393,Dioni,38.023,23.933,2019-06-19,300,23,9,335,70,10
394,Dioni,38.023,23.933,2019-06-19,600,24,9,335,57,10
395,Dioni,38.023,23.933,2019-06-19,900,29,8,335,49,10
